Date,Open,High,Low,Close,Adj Close,Volume
2019-05-30,1279.400024,1288.300049,1273.900024,1287.099976,1287.099976,55573
2019-05-31,1287.699951,1306.400024,1287.500000,1305.800049,1305.800049,2814
2019-06-03,1307.000000,1327.800049,1307.000000,1322.699951,1322.699951,812
2019-06-04,1324.300049,1328.599976,1320.800049,1323.400024,1323.400024,302
2019-06-05,1328.900024,1343.300049,1326.300049,1328.300049,1328.300049,622
2019-06-06,1330.800049,1338.699951,1326.199951,1337.599976,1337.599976,161
2019-06-07,1333.099976,1347.699951,1329.800049,1341.199951,1341.199951,240
2019-06-10,1335.800049,1336.500000,1324.099976,1324.699951,1324.699951,268
2019-06-11,1328.400024,1328.400024,1319.099976,1326.400024,1326.400024,201
2019-06-12,1326.900024,1334.500000,1326.900024,1331.900024,1331.900024,139
2019-06-13,1331.599976,1341.099976,1331.599976,1339.199951,1339.199951,157
2019-06-14,1345.400024,1355.400024,1339.300049,1340.099976,1340.099976,914
2019-06-17,1339.000000,1340.300049,1335.000000,1338.699951,1338.699951,76
2019-06-18,1349.300049,1349.300049,1341.599976,1346.599976,1346.599976,29
2019-06-19,1344.000000,1344.599976,1344.000000,1344.599976,1344.599976,129
2019-06-20,1381.500000,1392.900024,1379.500000,1392.900024,1392.900024,76
2019-06-21,1406.000000,1406.000000,1390.300049,1396.199951,1396.199951,35
